# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
88		41306		236119		2032
89		41317		238770		2034
90		41306		241408		2037
91		41302		244063		2040
92		41303		246704		2035
93		41304		249341		2029
94		41291		252002		2034
95		41300		254623		2038
96		41296		257276		2043
97		41304		259947		2048
98		41308		262585		2038
99		41303		265224		2046
100		41302		267859		2044
101		41299		270501		2045
102		41302		273149		2046
103		41300		275802		2044
104		41306		278439		2049
105		41373		281091		2047
106		41374		283738		2041
107		41366		286397		2030
108		41363		289053		2032
109		41366		291708		2031
110		41372		294365		2034
111		41373		297021		2039
112		41367		299695		2043
113		41365		302345		2038
114		41367		304996		2044
115		41357		307651		2040
116		41326		310305		2046
117		41327		312953		2051
118		41329		315598		2046
119		41323		318243		2048
120		41316		320906		2045
121		41317		323565		2041
122		41318		326203		2042
123		41308		328847		2039
124		41307		331480		2041
125		41332		334119		2045
126		41331		336783		2031
127		41337		339418		2037
128		41329		342074		2036
129		41331		344720		2034
130		41330		347361		2036
131		41322		350002		2033
132		41324		352640		2034
133		41320		355278		2035
134		41320		357927		2037
135		41324		360577		2037
136		41329		363212		2037
137		41334		365855		2039
138		41333		368507		2037
139		41326		371151		2038
140		41320		373803		2034
141		41318		376455		2033
142		41312		379097		2037
143		41317		381753		2039
144		41320		384403		2038
145		41320		387054		2036
146		41317		389694		2041
147		41320		392336		2041
148		41318		394965		2043
149		41320		397619		2042
150		41314		400259		2046
151		41320		402891		2047
152		41313		405550		2048
153		41318		408208		2045
154		41323		410862		2049
155		41323		413517		2047
156		41314		416152		2046
157		41315		418774		2047
158		41320		421419		2045
159		41324		424070		2046
160		41303		426715		2047
161		41305		429352		2044
162		41311		431989		2045
163		41307		434633		2046
164		41305		437271		2047
165		41311		439910		2050
166		41304		442549		2051
167		41306		445198		2050
168		41304		447844		2045
169		41305		450476		2045
170		41298		453125		2047
171		41304		455762		2051
172		41298		458399		2041
173		41300		461029		2044
174		41297		463668		2041
175		41294		466309		2034
176		41292		468949		2042
177		41298		471589		2045
178		41297		474230		2041
179		41293		476877		2043
180		41291		479523		2049
181		41292		482170		2053
182		41286		484808		2050
183		41284		487461		2049
184		41291		490093		2044
185		41288		492738		2042
186		41294		495394		2047
187		41289		498047		2043
188		41292		500680		2041
189		41293		503320		2036
190		41295		505977		2035
191		41293		508620		2040
192		41292		511258		2044
193		41290		513912		2045
194		41295		516566		2043
195		41292		519209		2039
196		41289		521854		2037
197		41289		524498		2035
198		41287		527151		2042
199		41288		529808		2043
200		41295		532445		2049
201		41317		535101		2043
202		41324		537755		2040
203		41325		540415		2046
204		41322		543071		2042
205		41320		545724		2036
206		41319		548362		2040
207		41319		551017		2036
208		41308		553661		2039
209		41307		556304		2041
210		41308		558943		2042
211		41285		561589		2045
212		41281		564248		2044
213		41279		566889		2045
214		41280		569542		2043
215		41282		572188		2042
216		41279		574841		2042
217		41283		577479		2043
218		41293		580133		2045
219		41284		582794		2046
220		41284		585447		2044
221		41292		588098		2047
222		41291		590751		2047
223		41278		593397		2050
224		41283		596025		2044
225		41279		598674		2047
226		41277		601334		2047
227		41282		603973		2046
228		41281		606607		2049
229		41281		609258		2049
230		41292		611913		2044
231		41284		614547		2047
232		41284		617185		2052
233		41292		619842		2046
234		41286		622493		2042
235		41288		625151		2046
236		41288		627820		2038
237		41285		630455		2040
238		41284		633088		2034
239		41291		635728		2038
240		41292		638371		2035
241		41292		641000		2030
242		41293		643647		2029
243		41293		646291		2028
244		41298		648940		2030
245		41292		651580		2033
246		41291		654229		2033
247		41273		656867		2033
248		41270		659513		2028
249		41273		662173		2025
250		41277		664801		2033
251		41272		667436		2034
252		41273		670091		2035
253		41271		672747		2036
254		41267		675384		2035
255		41270		678035		2038
256		41265		680678		2036
257		41264		683328		2033
258		41270		685979		2031
259		41265		688619		2037
260		41259		691277		2040
261		41258		693907		2038
262		41257		696558		2037
263		41256		699195		2040
264		41257		701838		2041
265		41259		704481		2042
266		41262		707115		2036
267		41264		709751		2037
268		41267		712404		2029
269		41267		715046		2038
270		41267		717680		2040
271		41267		720317		2042
272		41265		722958		2045
273		41263		725608		2041
274		41267		728249		2047
275		41268		730890		2044
276		41268		733522		2046
277		41267		736167		2040
278		41267		738816		2034
279		41270		741457		2039
280		41273		744096		2035
281		41272		746731		2031
282		41271		749379		2041
283		41273		752033		2041
284		41270		754668		2036
285		41269		757308		2038
286		41271		759962		2036
287		41270		762611		2036
288		41267		765253		2037
289		41268		767898		2046
290		41271		770545		2039
291		41270		773199		2042
292		41265		775856		2045
293		41265		778505		2048
294		41265		781158		2042
295		41261		783792		2036
296		41269		786437		2033
297		41272		789077		2037
298		41273		791708		2039
299		41269		794344		2036
300		41270		796982		2038
301		41264		799628		2037
302		41262		802256		2038
303		41259		804906		2038
304		41256		807546		2038
305		41260		810192		2038
306		41256		812838		2044
307		41257		815481		2044
308		41260		818132		2042
309		41260		820778		2040
310		41261		823429		2039
311		41259		826068		2036
312		41261		828694		2039
313		41260		831345		2037
314		41255		833991		2038
315		41257		836629		2038
316		41255		839270		2037
317		41256		841913		2048
318		41256		844564		2046
319		41255		847219		2042
320		41252		849862		2043
321		41255		852504		2041
322		41255		855148		2042
323		41254		857800		2040
324		41253		860435		2044
325		41250		863101		2041
326		41251		865748		2046
327		41251		868396		2050
328		41248		871023		2046
329		41247		873670		2044
